Name,Address,Longitude,Latitude
W-Mall,서울특별시 금천구 디지털로 188 (가산동),126.8876842,37.4773538
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,126.8850273,37.4784856
가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동),126.8837009,37.4772358
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",126.8874869,37.4794816
독산역,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 108, 109호",126.8880861,37.4676102
가산현대아울렛,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부",126.8891282,37.4775997
월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",127.0576337,37.6305211
월계트레이더스,서울특별시 노원구 마들로3길 15 (월계동),127.0613340,37.6269007
상계초교사거리,서울특별시 노원구 노원로 449 (상계동),127.0664416,37.6566695
공릉DT,서울특별시 노원구 동일로 1015 (공릉동),127.0742209,37.6207527
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",127.0570372,37.6608056
공릉역,서울특별시 노원구 동일로 1081 (공릉동),127.0722880,37.6263815
은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",127.0760057,37.6505113
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",127.0636241,37.6545660
광운대,서울특별시 노원구 석계로 104 (월계동),127.0607341,37.6231789
중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",127.0621997,37.6481635
노원역,서울특별시 노원구 동일로 1413 (상계동) 1층,127.0600404,37.6547775
월계이마트,서울특별시 노원구 마들로3길 15 (월계동),127.0613340,37.6269007
태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동),127.0793700,37.6192542
노원상계,서울특별시 노원구 동일로215길 2 (상계동),127.0609342,37.6515441
창동이마트,서울특별시 도봉구 노해로65길 4 (창동),127.0466993,37.6516362
쌍문역,서울특별시 도봉구 도봉로 480 (창동),127.0349027,37.6483498
쌍문도봉로,서울특별시 도봉구 도봉로 444 (창동),127.0332535,37.6453822
방학역,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호",127.0435897,37.6653467
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",126.9468626,37.5129588
남성역,서울특별시 동작구 사당로 219 (사당동),126.9726736,37.4841688
상도역,서울특별시 동작구 상도로37길 1 (상도1동),126.9484501,37.5032360
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",126.9233880,37.4922350
이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이),126.9805813,37.4843925
노량진역,서울특별시 동작구 노량진로 134 (노량진동),126.9409005,37.5133690
신대방삼거리역,서울특별시 동작구 상도로 102 (상도동),126.9317763,37.4999427
중앙대,서울특별시 동작구 흑석로 75-1 (흑석동),126.9581303,37.5069728
숭실대입구역,서울특별시 동작구 상도로 354 (상도동),126.9527459,37.4968808
숭실대,서울특별시 동작구 사당로 4 (상도동),126.9548687,37.4954152
사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",126.9813713,37.4784873
서강대프라자,서울특별시 마포구 백범로 35 (신수동),126.9410634,37.5517132
상암YTN,서울특별시 마포구 상암산로 76 (상암동),126.8923741,37.5791261
마포용강동,서울특별시 마포구 토정로 295 (용강동),126.9422329,37.5412060
홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동),126.9203014,37.5547340
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동),126.9536224,37.5510075
공덕,서울특별시 마포구 마포대로 130 (공덕동),126.9529879,37.5459570
합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",126.9137390,37.5510463
홍대공항철도역,서울특별시 마포구 양화로 178 (동교동),126.9252132,37.5575046
마포염리,서울특별시 마포구 독막로 311 (염리동),126.9474817,37.5439955
서강광흥창역,서울특별시 마포구 서강로 69 (창전동),126.9316793,37.5494280
합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",126.9121599,37.5499472
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),126.9415219,37.5482429
서교동사거리,서울특별시 마포구 양화로 105 (서교동),126.9185836,37.5534171
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),126.8885633,37.5813386
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동),126.9346957,37.5551778
상암디지털큐브,서울특별시 마포구 상암산로 34,126.8892881,37.5762163
상수역,서울특별시 마포구 독막로 88 (상수동),126.9232166,37.5475082
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,126.9505813,37.5426447
서강대,서울특별시 마포구 백범로 23 (신수동),126.9375586,37.5524343
상암MBC,서울특별시 마포구 성암로 267 (상암동),126.8909890,37.5811234
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",126.9236203,37.5572103
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",126.9199773,37.5568410
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",126.9555972,37.5522055
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",126.8906892,37.5775718
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",126.9463744,37.5404731
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,126.9489800,37.5413405
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동),126.9232577,37.5502077
망원역,서울특별시 마포구 월드컵로 74 (서교동),126.9107211,37.5557789
마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,126.9535163,37.5424867
합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",126.9137390,37.5510463
아현역대로,서울특별시 마포구 신촌로 262 (아현동),126.9548260,37.5570560
디지털미디어시티역,서울특별시 마포구 성암로 179 (상암동),126.8986284,37.5761771
홍대역8번출구,서울특별시 마포구 양화로 166 (동교동),126.9241712,37.5567326
합정푸르지오,"서울특별시 마포구 월드컵로3길 14 (합정동, 마포 한강 2차 푸르지오)",126.9119200,37.5511438
망원한강공원,서울특별시 마포구 마포나루길 435 (망원동),126.8963235,37.5539912
가재울뉴타운,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이)",126.9176131,37.5728378
남가좌사거리,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",126.9191564,37.5774713
신촌역,서울특별시 서대문구 신촌로 73 (창천동),126.9345387,37.5563093
연희동,서울특별시 서대문구 연희로 97 (연희동),126.9305341,37.5668065
아현역,"서울특별시 서대문구 신촌로35길 10 (북아현동, e편한세상신촌 4단지)",126.9558605,37.5586219
홍제역,서울특별시 서대문구 통일로 451 (홍제동),126.9438680,37.5886728
